#Wavenumber (cm^-1);  Spectrum at 300.00 K (cm*km*mol^-1);  Integral (km*mol^-1)
948.74; 0.22387629; 663.05779257018
950.77; 0.22102567; 663.50778176229
952.81; 0.21894144; 663.95352762873
954.84; 0.21723716; 664.39580373034
956.88; 0.21554745; 664.83463972683
958.92; 0.21360415; 665.26951934599
960.95; 0.21127703; 665.69966114381
962.99; 0.208571; 666.12429369081
965.02; 0.20558711; 666.54285130188
967.06; 0.20246569; 666.95505397434
969.09; 0.1993337; 667.36088019407
971.13; 0.19627368; 667.7604764625
973.17; 0.19332071; 668.15406074922
975.20; 0.19048222; 668.54186611401
977.24; 0.18776662; 668.92414275445
979.27; 0.18520543; 669.30120503394
981.31; 0.18285798; 669.67348809054
983.35; 0.18079671; 670.04157459715
985.38; 0.17908009; 670.40616620496
987.42; 0.17772493; 670.76799883248
989.45; 0.17669038; 671.12772520363
991.49; 0.17588011; 671.48580193159
993.53; 0.17516221; 671.84241707367
995.56; 0.17439935; 672.19747909955
997.60; 0.17347861; 672.55066657755
999.63; 0.17233146; 672.90151855098
1001.67; 0.17093906; 673.24953572555
1003.71; 0.16932406; 673.59426489029
1005.74; 0.16753465; 673.93535097519
1007.78; 0.16562869; 674.27255668787
1009.81; 0.1636637; 674.60576185402
1011.85; 0.16169486; 674.93495864386
1013.89; 0.15977856; 675.26025400214
1015.92; 0.15797627; 675.58188004758
1017.96; 0.15635366; 675.90020259607
1019.99; 0.15497227; 676.21571275358
1022.03; 0.15387531; 676.5289896122
1024.06; 0.15307276; 676.8406325396
1026.10; 0.15253224; 677.15117501339
1028.14; 0.15218103; 677.46100246235
1030.17; 0.15192032; 677.77029913139
1032.21; 0.15164817; 678.07904171921
1034.24; 0.15128388; 678.38704264014
1036.28; 0.15078542; 678.69402874727
1038.32; 0.15015379; 678.99972890242
1040.35; 0.1494229; 679.30394103961
1042.39; 0.14863929; 679.60655779753
1044.42; 0.14783958; 679.90754642761
1046.46; 0.14703509; 680.20689718473
1048.50; 0.1462097; 680.50456751093
1050.53; 0.14533238; 680.80045169863
1052.57; 0.14437961; 681.09439612526
1054.60; 0.14335866; 681.38626198464
1056.64; 0.14232209; 681.67601747889
1058.68; 0.14136639; 681.96382724151
1060.71; 0.14061331; 682.25010381099
1062.75; 0.14017873; 682.53549560284
1064.78; 0.14013817; 682.82080481629
1066.82; 0.14049994; 683.10685057196
1068.85; 0.14119431; 683.39430999988
1070.89; 0.14208238; 683.68357746121
1072.93; 0.14298257; 683.97467763489
1074.96; 0.14370755; 684.2672538129
1077.00; 0.14410212; 684.56063330138
1079.03; 0.14407285; 684.85395319301
1081.07; 0.14360317; 685.14631686286
1083.11; 0.14275168; 685.43694695876
1085.14; 0.14163539; 685.72530439564
1087.18; 0.14040302; 686.011152834
1089.21; 0.13920451; 686.29456120708
1091.25; 0.13816338; 686.57584992697
1093.29; 0.13735703; 686.85549697802
1095.32; 0.13680818; 687.13402662679
1097.36; 0.13648839; 687.41190521235
1099.39; 0.13633201; 687.68946541371
1101.43; 0.13625713; 687.96687317233
1103.47; 0.1361886; 688.24414141083
1105.50; 0.13607768; 688.52118381882
1107.54; 0.13591383; 688.79789265177
1109.57; 0.13572595; 689.0742189782
1111.61; 0.13557286; 689.35023362376
1113.64; 0.13552577; 689.62615240288
1115.68; 0.1356474; 689.90231880852
1117.72; 0.13597327; 690.17914864555
1119.75; 0.13650013; 690.45705113325
1121.79; 0.13718459; 690.73634712569
1123.82; 0.13795214; 691.01720578135
1125.86; 0.13871435; 691.29961622473
1127.90; 0.13938982; 691.58340185963
1129.93; 0.13992365; 691.86827433901
1131.97; 0.14030067; 692.15391439735
1134.00; 0.14054904; 692.44006011214
1136.04; 0.14073342; 692.72658120472
1138.08; 0.14093917; 693.01352119062
1140.11; 0.14125142; 693.30109690011
1142.15; 0.14173417; 693.5896554328
1144.18; 0.14241473; 693.87959953843
1146.22; 0.1432779; 694.17130096939
1148.26; 0.1442714; 694.46502508778
1150.29; 0.1453217; 694.76088751886
1152.33; 0.14635571; 695.05885511082
1154.36; 0.14732244; 695.35879087703
1156.40; 0.14820791; 695.66052939026
1158.43; 0.14903866; 695.96395923371
1160.47; 0.14987208; 696.26908585927
1162.51; 0.1507761; 696.57605299033
1164.54; 0.15180384; 696.88511249818
1166.58; 0.15297095; 697.19654815406
1168.61; 0.1542428; 697.51057318448
1170.65; 0.15553581; 697.82723067192
